,Name,Url,Review,Rating,Category 1,Category 2
1,Amrutha Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13544747-Reviews-Amrutha_Lounge-London_England.html,425 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Healthy
Vegetarian Friendly
Vegan Options
Gluten Free Options"
2,Barge East,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14766290-Reviews-Barge_East-London_England.html,184 reviews,5 of 5 bubbles,European,"££ - £££
European
British
Contemporary
Fusion
Vegetarian Friendly
Vegan Options
Gluten Free Options"
3,Latitude,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13474320-Reviews-Latitude-London_England.html,78 reviews,5 of 5 bubbles,European,"££ - £££
European
International
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
4,Dobar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15211822-Reviews-Dobar-London_England.html,107 reviews,5 of 5 bubbles,Pizza,"££ - £££
Pizza
Cafe
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
5,Chojo,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15057719-Reviews-Chojo-London_England.html,199 reviews,5 of 5 bubbles,Chinese,"££ - £££
Chinese
Taiwanese
Street Food
Vegetarian Friendly
Vegan Options
Gluten Free Options"
6,German Doner Kebab,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12798255-Reviews-German_Doner_Kebab-London_England.html,146 reviews,5 of 5 bubbles,German,"£
German
Fast food
Grill
Fusion
Healthy"
7,Bistro Mirey,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13321108-Reviews-Bistro_Mirey-London_England.html,81 reviews,5 of 5 bubbles,French,"££ - £££
French
European
Japanese
Vegetarian Friendly
Vegan Options
Gluten Free Options"
8,Core by Clare Smyth,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12801049-Reviews-Core_by_Clare_Smyth-London_England.html,546 reviews,5 of 5 bubbles,French,"££££
French
European
British
Contemporary
Vegetarian Friendly
Vegan Options
Gluten Free Options"
9,Buongiorno e Buonasera,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13506472-Reviews-Buongiorno_e_Buonasera-London_England.html,234 reviews,5 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Deli
Healthy
Vegetarian Friendly
Vegan Options
Gluten Free Options"
10,Taste Of Nawab,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d813149-Reviews-Taste_Of_Nawab-London_England.html,827 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Vegetarian Friendly
Vegan Options
Halal
Gluten Free Options"
11,Room 43 Bar & Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12830540-Reviews-Room_43_Bar_Kitchen-London_England.html,98 reviews,5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Middle Eastern
Persian
Vegetarian Friendly
Gluten Free Options
Vegan Options"
12,The Lounge Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10519837-Reviews-The_Lounge_Cafe-London_England.html,186 reviews,5 of 5 bubbles,British,"£
British
Vegetarian Friendly
Vegan Options
Gluten Free Options"
13,Pizza Pickup,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12386345-Reviews-Pizza_Pickup-London_England.html,121 reviews,5 of 5 bubbles,Italian,"£
Italian
Pizza
Vegetarian Friendly
Vegan Options
Gluten Free Options"
14,The Rajdoot,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15614126-Reviews-The_Rajdoot-London_England.html,101 reviews,5 of 5 bubbles,Indian,"££ - £££
Indian
Asian
Grill
Vegetarian Friendly"
